"No.","Time","Source","Destination","Protocol","Length","Info","ACK RTT "
"478","10.168059218","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=47309 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"479","10.168418333","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=48697 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"480","10.168600934","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=50085 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"481","10.173982857","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=51473 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"482","10.174597161","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=52861 Win=4549 Len=0 TSval=1266381903 TSecr=2046872578","0.000614304"
"483","10.175174990","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=52861 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"484","10.175364679","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=54249 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"485","10.177229229","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=55637 Win=4549 Len=0 TSval=1266381906 TSecr=2046872578","0.001864550"
"486","10.179634920","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=55637 Ack=232 Win=99 Len=1388 TSval=2046872578 TSecr=1266381612 [TCP segment of a reassembled PDU]",""
"487","10.179718695","151.101.38.214","rust-bucket.local","TLSv1.2","201","Application Data",""
"488","10.179925621","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=275 Ack=57160 Win=4549 Len=0 TSval=1266381909 TSecr=2046872578","0.000206926"
"489","10.221293796","rust-bucket.local","151.101.38.214","TLSv1.2","163","Application Data",""
"490","10.221623785","rust-bucket.local","151.101.38.214","TLSv1.2","159","Application Data",""
"491","10.278586125","rust-bucket.local","151.101.38.214","TLSv1.2","158","Application Data",""
"492","10.295797627","rust-bucket.local","151.101.38.214","TLSv1.2","159","Application Data",""
"493","10.295962165","rust-bucket.local","151.101.38.214","TLSv1.2","182","Application Data",""
"495","10.338433234","rust-bucket.local","151.101.38.214","TLSv1.2","161","Application Data",""
"496","10.353316558","rust-bucket.local","151.101.38.214","TLSv1.2","158","Application Data",""
"497","10.353544084","rust-bucket.local","151.101.38.214","TLSv1.2","251","Application Data, Application Data",""
"508","10.360442017","151.101.38.214","rust-bucket.local","TCP","66","443  >  43784 [ACK] Seq=57160 Ack=275 Win=99 Len=0 TSval=2046872634 TSecr=1266381829","0.260215136"
"509","10.417479183","151.101.38.214","rust-bucket.local","TCP","66","443  >  43784 [ACK] Seq=57160 Ack=465 Win=99 Len=0 TSval=2046872653 TSecr=1266381950","0.195855398"
"510","10.429067935","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=57160 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"511","10.429311586","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=58548 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"512","10.429349511","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=59936 Win=4549 Len=0 TSval=1266382158 TSecr=2046872653","0.000037925"
"513","10.429578625","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=59936 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"515","10.434703284","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=61324 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"516","10.434783260","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=62712 Win=4549 Len=0 TSval=1266382163 TSecr=2046872653","0.000079976"
"517","10.434889661","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=62712 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"518","10.435190025","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=64100 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"519","10.435498002","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=65488 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"520","10.443311891","151.101.38.214","rust-bucket.local","TCP","2842","443  >  43784 [ACK] Seq=66876 Ack=465 Win=99 Len=2776 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"521","10.443539180","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=69652 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"522","10.443823770","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=71040 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"523","10.444069359","151.101.38.214","rust-bucket.local","TLSv1.2","1211","Application Data",""
"524","10.446569201","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=73573 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"525","10.446826827","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=74961 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"526","10.447512269","151.101.38.214","rust-bucket.local","TCP","4230","443  >  43784 [ACK] Seq=76349 Ack=465 Win=99 Len=4164 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"527","10.447906310","151.101.38.214","rust-bucket.local","TCP","2842","443  >  43784 [ACK] Seq=80513 Ack=465 Win=99 Len=2776 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"528","10.448166174","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=83289 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"529","10.448307325","151.101.38.214","rust-bucket.local","TLSv1.2","551","Application Data",""
"530","10.453519934","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=85162 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"531","10.456602205","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=86550 Win=4363 Len=0 TSval=1266382185 TSecr=2046872653","0.003082271"
"532","10.461178585","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=86550 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"533","10.461418961","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=87938 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"534","10.461449387","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=89326 Win=4533 Len=0 TSval=1266382190 TSecr=2046872653","0.000030426"
"535","10.462100528","151.101.38.214","rust-bucket.local","TCP","4230","443  >  43784 [ACK] Seq=89326 Ack=465 Win=99 Len=4164 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"536","10.462302617","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=93490 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"537","10.462589419","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=94878 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"538","10.462885271","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=96266 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"539","10.466754122","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=97654 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"540","10.467019361","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=99042 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"541","10.467493114","151.101.38.214","rust-bucket.local","TLSv1.2","1211","Application Data",""
"542","10.467537689","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=101575 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"543","10.467705366","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=102963 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"544","10.468009680","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=104351 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"545","10.470519947","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=105739 Win=4405 Len=0 TSval=1266382199 TSecr=2046872653","0.002510267"
"546","10.474006670","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=105739 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"547","10.474266459","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=107127 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"548","10.474294759","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=108515 Win=4533 Len=0 TSval=1266382203 TSecr=2046872653","0.000028300"
"549","10.474563523","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=108515 Ack=465 Win=99 Len=1388 TSval=2046872653 TSecr=1266381950 [TCP segment of a reassembled PDU]",""
"550","10.474665124","151.101.38.214","rust-bucket.local","TLSv1.2","207","Application Data",""
"551","10.481300768","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=110044 Win=4549 Len=0 TSval=1266382210 TSecr=2046872653","0.006635644"
"552","10.492560430","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=110044 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]","0.213974305"
"553","10.505079013","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=111432 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"554","10.505129563","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=112820 Win=4549 Len=0 TSval=1266382234 TSecr=2046872672","0.000050550"
"555","10.505323452","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=112820 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"556","10.505600791","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=114208 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"557","10.505628979","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=115596 Win=4549 Len=0 TSval=1266382234 TSecr=2046872672","0.000028188"
"558","10.516356238","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=115596 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"559","10.516561789","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=116984 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"560","10.516602802","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=118372 Win=4549 Len=0 TSval=1266382245 TSecr=2046872672","0.000041013"
"561","10.517471832","151.101.38.214","rust-bucket.local","TCP","5618","443  >  43784 [ACK] Seq=118372 Ack=557 Win=99 Len=5552 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"562","10.517772484","151.101.38.214","rust-bucket.local","TLSv1.2","2599","Application Data",""
"563","10.517809222","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=123924 Win=4549 Len=0 TSval=1266382247 TSecr=2046872672","0.000337390"
"564","10.517871798","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=126457 Win=4549 Len=0 TSval=1266382247 TSecr=2046872672","0.000099314"
"565","10.518024011","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=126457 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"566","10.518316151","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=127845 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"567","10.518586702","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=129233 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"568","10.518646065","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=129233 Win=4549 Len=0 TSval=1266382247 TSecr=2046872672","0.000329914"
"569","10.522221726","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=130621 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"570","10.522274027","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=132009 Win=4549 Len=0 TSval=1266382251 TSecr=2046872672","0.000052301"
"571","10.522439215","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=132009 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"572","10.522922094","151.101.38.214","rust-bucket.local","TCP","2842","443  >  43784 [ACK] Seq=133397 Ack=557 Win=99 Len=2776 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"573","10.523171183","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=136173 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"574","10.523547310","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=137561 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"575","10.523874050","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=138949 Win=4549 Len=0 TSval=1266382253 TSecr=2046872672","0.000326740"
"576","10.528195428","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=138949 Ack=557 Win=99 Len=1388 TSval=2046872672 TSecr=1266382007 [TCP segment of a reassembled PDU]",""
"577","10.528323767","151.101.38.214","rust-bucket.local","TLSv1.2","561","Application Data",""
"578","10.528348592","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=140832 Win=4549 Len=0 TSval=1266382257 TSecr=2046872672","0.000024825"
"579","10.528618744","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=140832 Ack=650 Win=99 Len=1388 TSval=2046872674 TSecr=1266382024 [TCP segment of a reassembled PDU]","0.232821117"
"580","10.528902458","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=142220 Ack=650 Win=99 Len=1388 TSval=2046872674 TSecr=1266382024 [TCP segment of a reassembled PDU]",""
"581","10.529182072","151.101.38.214","rust-bucket.local","TCP","1454","443  >  43784 [ACK] Seq=143608 Ack=650 Win=99 Len=1388 TSval=2046872674 TSecr=1266382024 [TCP segment of a reassembled PDU]",""
"582","10.529275398","rust-bucket.local","151.101.38.214","TCP","66","43784  >  443 [ACK] Seq=1138 Ack=144996 Win=4549 Len=0 TSval=1266382258 TSecr=2046872674","0.000093326"
